Load,Actuator,Time,Strain
100.0199,7.645833,44.634,0.00555
102.0554,7.645833,44.701,0.005569
104.4924,7.659722,44.768,0.005595
106.0737,7.666667,44.834,0.005621
106.4374,7.673611,44.901,0.005661
105.7599,7.673611,44.968,0.005685
103.7364,7.673611,45.034,0.00568
100.6417,7.659722,45.101,0.005665
98.44063,7.652778,45.168,0.005648
97.46473,7.645833,45.234,0.005638
97.7453,7.645833,45.301,0.005641
98.96414,7.645833,45.368,0.00565
100.912,7.652778,45.434,0.005662
102.9573,7.659722,45.501,0.005684
104.5284,7.666667,45.568,0.005704
105.3121,7.673611,45.634,0.005718
105.7324,7.680555,45.701,0.005745
105.2617,7.680555,45.768,0.005759
104.2042,7.680555,45.834,0.005763
102.4419,7.680555,45.901,0.005757
101.0863,7.673611,45.968,0.005746
100.3538,7.673611,46.034,0.005739
100.5865,7.666667,46.101,0.005745
102.0106,7.666667,46.168,0.005755
103.7253,7.673611,46.234,0.005766
105.4112,7.680555,46.301,0.005796
106.2636,7.6875,46.368,0.005828
105.9349,7.694445,46.434,0.005853
104.8394,7.694445,46.501,0.005871
102.1613,7.6875,46.568,0.005858
99.85152,7.680555,46.634,0.005835
98.64608,7.673611,46.701,0.005831
98.39823,7.673611,46.768,0.005829
98.74377,7.673611,46.834,0.005826
100.3042,7.673611,46.901,0.005843
102.652,7.680555,46.968,0.005861
104.6944,7.6875,47.034,0.005882
105.967,7.701389,47.101,0.005913
105.9308,7.701389,47.168,0.005933
105.5013,7.701389,47.234,0.005949
104.2572,7.701389,47.301,0.005958
101.6893,7.694445,47.368,0.005939
99.71562,7.6875,47.434,0.005924
99.25805,7.6875,47.501,0.005923
99.28616,7.6875,47.568,0.005921
100.29,7.6875,47.634,0.005927
102.4716,7.694445,47.701,0.005948
104.6978,7.701389,47.768,0.005969
106.1547,7.708333,47.834,0.005995
106.3877,7.715278,47.901,0.006037
105.7631,7.715278,47.968,0.006057
103.8245,7.715278,48.034,0.006057
100.6644,7.708333,48.101,0.006038
98.36628,7.694445,48.168,0.006017
97.67918,7.694445,48.234,0.006011
97.66715,7.694445,48.301,0.006014
98.48309,7.694445,48.368,0.006019
100.5724,7.694445,48.434,0.006031
103.2737,7.708333,48.501,0.006059
105.1977,7.715278,48.568,0.006082
106.0075,7.722222,48.634,0.006108
106.029,7.722222,48.701,0.00614
104.7297,7.729167,48.768,0.006149
102.2093,7.722222,48.834,0.00613
